"","uniqueID","err_prop_by_ID","err_count_by_ID","err_in_ID","oct_jump_prop_by_ID","oct_jump_count_by_ID","oct_jump_in_ID"
"195","14542_MADELYN_FFM_Helena_118_llh",0,0,0,0,0,0
"196","14542_MADELYN_FFM_Jeremy_023_lhh",0,0,0,0,0,0
"197","14542_MADELYN_FFM_Jeremy_105_lll",0,0,0,0,0,0
"198","14542_MADELYN_FFM_Marilyn_004_hlh",0.157894736842105,9,1,0,0,1
"199","14542_MADELYN_FFM_Marilyn_052_lhl",0,0,0,0,0,0
"200","14542_MADELYN_FFM_Marilyn_121_hhh",0.0535714285714286,3,1,0,0,1
"201","14542_MADELYN_FMF_Helena_040_lhh",0,0,0,0,0,0
"202","14542_MADELYN_FMF_Helena_106_llh",0,0,0,0,0,0
"203","14542_MADELYN_FMF_Jeremy_056_hlh",0,0,0,0,0,0
"204","14542_MADELYN_FMF_Jeremy_116_lhl",0.0384615384615385,2,1,0,0,1
"205","14542_MADELYN_FMF_Marilyn_022_hll",0.0178571428571429,1,1,0,0,1
"206","14542_MADELYN_FMF_Marilyn_032_hhh",0,0,0,0,0,0
"207","14542_MADELYN_FMF_Marilyn_038_lll",0.120689655172414,7,1,0,0,1
"208","14542_MADELYN_FMF_Marilyn_123_hhl",0,0,0,0,0,0
"209","14542_MADELYN_FMM_Helena_133_lll",0.0925925925925926,5,1,0,0,1
